OSD_ID,N_Flight,N_Ground,Flight_Mean_CT,Ground_Mean_CT,Phase_Shift_h,CI_95_Lower,CI_95_Upper,P_Value,F_statistic,Tissue,Ecotype,Hardware,Light_Regime,Included_in_Meta,Notes
OSD-120,18,18,22.16,22.3,-0.13,-0.4,0.13,0.2976,1.119078393253869,root,Col-0,petri dish,unknown,True,OK
OSD-121,3,3,0.34,0.46,-0.12,-0.26,0.05,0.3284,1.237173119782081,shoot,Landsberg ecotype,BRIC-PDFU,dark,True,OK
OSD-136,0,0,,,,,,NA,,root,Ws,,continuous_light,False,"Insufficient replicates (flight=0, ground=0)"
OSD-147,9,9,0.93,0.99,-0.06,-0.14,0.0,0.1339,2.4927105914078145,hypocotyl,Col-0,BRIC,continuous_light,True,OK
OSD-17,12,12,0.21,0.27,-0.06,-0.14,0.02,0.1468,2.2621980774697223,cell_culture,Col-0,,unknown,True,OK
OSD-193,16,16,22.23,22.47,-0.24,-0.36,-0.12,0.0017,11.91682105563159,root,Col-0,Vegetable Production System (Veggie),unknown,True,OK
OSD-205,8,8,0.97,1.02,-0.05,-0.12,0.03,0.3078,1.1201466918612117,hypocotyl,Col-0,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),dark,True,OK
OSD-208,0,6,,23.09,,,,NA,,root,Col-0,growth chamber,continuous_light,False,"Insufficient replicates (flight=0, ground=6)"
OSD-217,6,6,23.14,22.82,0.32,-0.22,0.73,0.2285,1.6457177494905884,leaf,Ws,Vegetable Production System (Veggie),unknown,True,OK
OSD-218,16,16,22.27,22.38,-0.11,-0.23,-0.01,0.0568,3.924752550135237,root,Col-0,Vegetable Production System (Veggie),unknown,True,OK
OSD-251,20,0,22.47,,,,,NA,,whole_seedling,Landsberg ecotype,European Modular Cultivation System (EMCS),unknown,False,"Insufficient replicates (flight=20, ground=0)"
OSD-281,16,16,22.18,22.35,-0.17,-0.32,-0.01,0.0381,4.706666663519576,root,Sku5,Vegetable Production System (Veggie),unknown,True,OK
OSD-314,11,6,23.51,23.38,0.14,-0.17,0.41,0.2544,1.4046161213228936,whole_seedling,Col-0,European Modular Cultivation System (EMCS),LD_16:8,True,OK
OSD-321,22,22,22.8,23.23,-0.43,-0.5,-0.36,0.0000,38.981342343243334,whole_seedling,Col-0,BRIC-PDFU (Petri Dish Fixation Unit),dark,True,OK
OSD-346,36,0,22.77,,,,,NA,,,Landsberg erecta,European Modular Cultivation System (EMCS),unknown,False,"Insufficient replicates (flight=36, ground=0)"
OSD-37,28,28,23.66,23.7,-0.04,-0.21,0.13,0.5943,0.2871059821053969,whole_seedling,Col-0,BRIC-PDFU (Petri Dish Fixation Unit),dark,True,OK
OSD-38,3,9,22.94,23.46,-0.52,-0.73,-0.32,0.0259,6.825927290849125,whole_seedling,wild_type,BRIC-PDFU,dark,True,OK
OSD-427,24,24,23.28,23.11,0.17,-0.08,0.43,0.1700,1.9429294019940349,leaf,Col-0,Vegetable Production System (Veggie),continuous_light,True,OK
OSD-437,16,3,23.61,23.46,0.15,-0.05,0.34,0.4497,0.5986869726861994,shoot,Col-0,European Modular Cultivation System (EMCS),LD_16:8,True,OK
OSD-44,6,6,1.3,1.34,-0.03,-0.19,0.11,0.6452,0.22529820405402862,whole_seedling,act2-3,,dark,True,OK
OSD-678,18,18,1.17,1.4,-0.22,-1.59,1.21,0.7495,0.10360885368534253,leaf,Col-0,Petri Dish,continuous_light,True,OK
OSD-7,18,18,0.71,0.62,0.09,-0.08,0.26,0.2618,1.3021538684806517,hypocotyl,Ws,Advanced Biological Research System (ABRS),unknown,True,OK
